r,8145688.654617403,8145688.654980747,0.000363344
w,8145688.654637781,8145688.655098484,0.000460703
w,8145688.654668944,8145688.655148079,0.000479135
w,8145688.654689254,8145688.663062164,0.008372910
r,8145688.687384334,8145688.687624377,0.000240043
w,8145688.746366152,8145688.746774352,0.000408200
w,8145688.746435764,8145688.746864094,0.000428330
w,8145688.766058778,8145688.766481935,0.000423157
w,8145688.766027027,8145688.766485504,0.000458477
w,8145688.785689798,8145688.786314487,0.000624689
w,8145688.785727249,8145688.786453592,0.000726343
w,8145688.785776457,8145688.786674045,0.000897588
w,8145688.785753664,8145688.786734526,0.000980862
w,8145688.785799651,8145688.800655795,0.014856144
w,8145688.785829367,8145688.817114165,0.031284798
r,8145688.838115497,8145688.838352014,0.000236517
w,8145688.851222296,8145688.851601614,0.000379318
w,8145688.851258373,8145688.852055857,0.000797484
w,8145688.884042879,8145688.884412572,0.000369693
w,8145688.883993056,8145688.884415899,0.000422843
w,8145689.631104689,8145689.631580937,0.000476248
w,8145689.631159691,8145689.631683450,0.000523759
w,8145689.657317306,8145689.657742382,0.000425076
w,8145689.657359150,8145689.657818836,0.000459686
r,8145689.709744362,8145689.709982517,0.000238155
w,8145689.749066319,8145689.749477308,0.000410989
w,8145689.749125019,8145689.749582343,0.000457324
w,8145690.129180965,8145690.129676244,0.000495279
w,8145690.129211764,8145690.129681430,0.000469666
w,8145690.129244320,8145690.129724239,0.000479919
w,8145690.155391353,8145690.155811186,0.000419833
w,8145690.155432209,8145690.155894985,0.000462776
w,8145690.175051845,8145690.175432703,0.000380858
w,8145690.175091313,8145690.175501199,0.000409886
w,8145690.194710036,8145690.195143798,0.000433762
w,8145690.194749966,8145690.195148445,0.000398479
w,8145690.194789851,8145690.195574458,0.000784607
r,8145690.220926502,8145690.221168691,0.000242189
w,8145690.266801757,8145690.267251860,0.000450103
w,8145690.266836775,8145690.267382805,0.000546030
w,8145690.306124314,8145690.306602246,0.000477932
w,8145690.306171458,8145690.306643473,0.000472015
w,8145690.306209727,8145690.306852010,0.000642283
w,8145690.358554572,8145690.359128581,0.000574009
w,8145690.358594177,8145690.359135383,0.000541206
w,8145690.358628320,8145690.359149760,0.000521440
w,8145690.358654886,8145690.359198340,0.000543454
w,8145690.358693529,8145690.359514999,0.000821470
